Name of the hospital*,Latitude*,Longitude*,District*,Address,PinCode*,Phone Number
Abhaya Hospital,14.0625764,76.0810396,Ballari,Near Valmiki circle Kampli,583132,
KLS Hospital Hosapete,15.2736763,76.3834078,Ballari,Kls Hospital Hosapete16 6 Isr Factory Road Near Idgah Maidan Hosapeteballari 583201,583201,
Umakanth Eye Hospital,15.2773633,76.3857174,Ballari,Umakanth Eye Hospital Patel Nagar Hospet Vijayapur 583201,583201,
Dipali Hospital,15.2741493,76.3811085,Ballari,Dipali Hospital 8Th Cross 1 Main Basaweshwar Extension Hospet 583201,583201,
Citi Hospital,15.2621402,76.3787428,Ballari,Citi Hospital 52 A Near Lic Office Dam Road Hospet Bellary 583203,583203,
Arogyadhama Hospital unit of Shivanagouda Hosp Pvt,15.1357583,76.8365523,Ballari,Arogyadhama Hospital unit of Shivanagouda Hospital Pvt Ltd Behind Post Office Near KSRTC BusStand,583219,
Shree Ortho And Trauma Centre,15.8658078,74.505468,Belagavi,Shree Ortho And Trauma Centre Cts No 3957 184 Gandhi Bhavan Behind Hotel Sanman College Road Belagavi 590001,590001,
Noble Care Childrens Hospital,15.8574683,74.5024511,Belagavi,B C No 178 Ground Floor Havelock Road Camp Belagavi 590001,590001,
Vijaya Hospital,16.6578878,75.216526,Belagavi,Vijaya Hospital Bims College Road Ayodhya Nagar Belgaum 590001,590001,
Kapileshwar Orthopedic Trauma And Surgical Center,15.8509987,74.5138536,Belagavi,Shriram Complex Spm Road Next To Kapileshwar Temple Belgaum 590001,590001,
Vijaya Ortho And Trauma Centre,15.8742226,74.5122546,Belagavi,Vijaya Ortho And Trauma Centre Opp Bims Behind B D Jatti College Ayodhya Nagar Belgaum 590001,590001,
Yash Hospital Critical Care Centre,15.8526613,74.5171178,Belagavi,Yash Hospital Critical Care Centre 4924 3 Mahadwar Road Belagavi 590001,590001,
Belgaum Childrens Hospital Pvt Ltd,15.8463259,74.4916821,Belagavi,Belgaum Childrens Hospital Pvt Ltd Shanbhag Chambers Kirloskar Raod Belgaum 590002,590002,
Life Care Multispeciality Hospital and Diagnostic,15.8617571,74.5154712,Belagavi,CTS No 3730 A Second Floor Bait Oz Zohra Complex Opp Jamiya Masjid Darbar Galli,590002,
BHS Lakeview Heart And Super Speciality Hospital,15.8424974,74.507488,Belagavi,CTS No 5653 17 20 Mahatma Phule Road Shastri Nagar Near Goaves Belagavi 590003,590003,
Shri Daneshwari Surgical And General Hospital,15.8418237,74.5154106,Belagavi,CTS NO 1195 SARAF GALLI SHAHAPUR BELAGAVI,590003,
Kle Centenary Charitable Hospital And Mrc,15.819007,74.5167999,Belagavi,Kle Centenary Charitable Hospital And Mrc Near Annapurneshwari Temple Near Annapurneshwari Temple Yellur Road Vadagaon Belagavi 590005,590005,
Shri Sai Hospital,15.8346359,74.5234028,Belagavi,40 2 Laxmi Nagar Main Road Vadagavi Belgavi,590005,
Venugram Hospitals Belgaum Pvt Ltd,15.8257572,74.4952433,Belagavi,CTS 785 RS No 674 7 2nd Cross Hindu Nagar Near 3rd Railway Gate Opp D Mart Belgaum,590006,
Venus Multi Super Specialty Hospital,12.9721032,77.6807993,Belagavi,CTS 2544 Mahatma Phule Road Shahapur,590006,
Dakshata Hospitals Pvt Ltd,15.8292264,74.4988801,Belagavi,Plot No 12 CTS 2608 Khanapur Road Near 3rd Rly Gate Belgaum,590006,
Kles Dr Prabhakar Kore Hospital And Mrc,15.8881397,74.5174905,Belagavi,Kles Dr Prabhakar Kore Hospital And Mrc Nehru Nagar Belgaum 590010,590010,
Kle Societys Belgaum Cancer Hospital,15.8759472,74.5081739,Belagavi,Kle Societys Belgaum Cancer Hospital 9666A 2 D Ashok Nagar Behind Buda Office Belgaum 590016,590016,
BHS lakeview Hospital,15.863428,74.524354,Belagavi,11888 Opp Fort Lake Gandhi Nagar Belgaum,590016,
Dr Naiks Hospital,15.8510307,75.1177003,Belagavi,Dr Naiks Hospital Opp Bus Stand Main Road Munavall Isavadatti Belagavi 591117,591117,
Dr Navadgi Nursing Home,15.7728283,75.1087081,Belagavi,Dr Navadgi Nursing Home Near Bus Stand Saundatti Dist Belgaum Karnataka,591126,
Salagare Childrens And Eye Hospital,16.4280786,74.5824207,Belagavi,Salagare Childrens And Eye Hospitalsalagare Childrens and Eye Hospital Bhagyalaxminagar belgaum 591201,591201,
Jeevan Maternity And Surgical Hospital Manjari,16.4311227,74.5853448,Belagavi,Jeevan Maternity And Surgical Hospital Manjari Bus Stand Road Manjari Chikkodi Belagavi 591213,591213,
Shri Mallikarjun Multispeciality Hospital Harugeri,16.5187793,74.9489692,Belagavi,Atahni Gokak Main Road Harugeri,591220,
SSJMECT ASHIRWAD NURSING AND MATERNITY HOME,16.517008,74.9473962,Belagavi,ATHANI GOKAK MAIN ROAD HARUGERI,591220,
Shri S B Odeyar Memorial Hospital Harugeri,16.2125036,74.4882407,Belagavi,Shri S B Odeyar Memorial Hospital Harugeri Gokak Road Harugeri Raibagh Belagavi 591220,591220,
DANESHWARI MULTI SPECIALITY HEALTH CARE,16.4035321,74.3825526,Belagavi,NEAR POST OFFICE MANIK NAGAR NIPPANI,591237,
Rajiv Gandhi Rural Hospital And Mrc,16.1276692,74.5211659,Belagavi,Main Road Yamakanamaradi At Po Yamakanamaradi Tq Hukkeri Dist Belgaum 591246,591246,
Shri Dhanvantari Nursing Home,16.2253583,74.399932,Belagavi,Shri Dhanvantari Nursing Home Near Bus Stand Athani Road Ainapur Belagavi 591303,591303,
Shree Nursing Home Ainapur,16.2253583,74.399932,Belagavi,Shree Nursing Home Ainapur Nehru Chowk Road Ainapur 591303,591303,
Padma Nursing Home,16.6704657,74.8858869,Belagavi,Padma Nursing Home Mahaveer Chowk Ainapur Athani Dist Belgaum 591303,591303,
Metri Hospital Athani,16.7293541,75.0594628,Belagavi,Metri Hospital Athani Beside Shala Sankirna Near Basaveshwar Cercle Athani Belagavi 591304,591304,
Annapurna Multisepciality Hospital,16.7242074,75.0648487,Belagavi,Bus Stand Road Athani Belgavi,591304,
Jayaratna Eye Hospital,16.2401187,74.7484015,Belagavi,Jayaratna Eye Hospital ghataprabha belgaum 591306,591306,
Naikwadi Medical Center,16.2282663,74.7940474,Belagavi,Survey No 27 4 Hukkeri Ghataprabha Road Shirdhan Cross Shirdhan 591306 Tq Hukkeri Belgaum,591306,
Karnatak Health Institute,16.2335371,74.761963,Belagavi,Karnatak Health Institute Karnatak Health Institute Ghataprabha Belagavi 591306,591306,
Dr B B Ghodageri,16.1653524,74.8236913,Belagavi,Dr B B Ghodageri 145 K Main Road Gokak Belgaum 591307,591307,
Shri J G Co Operative Hospital Society Ltd,16.2473689,74.7666287,Belagavi,Shri J G Co Operative Hospital Society Ltd Dr Gangadhar Nagar Ghataprabha Gokak Belagavi 591307,591307,
Ganga Hospital,16.1613221,74.8213213,Belagavi,Ganga Hospital Mayur school road Gokak Belgavi,591307,
SUKH SHANTI SUPER SPECIALITY S4 HOSPITAL GOKAK,16.1649191,74.8427523,Belagavi,S4 Hospital Gokakshivaji Circle Yaragatti Roadbelgaum 591307,591307,
Jayaratna Maternity And Laparoscopy Surgical Hospital,16.1641157,74.8139011,Belagavi,Jayaratna Maternity And Laparoscopy Surgical Hospi Beside Jss College Falls Road Court Circle Gokak Belagavi 591307,591307,
Dr Balesh Kappalguddi,16.1640901,74.8204941,Belagavi,Dr Balesh Kappalguddi Kappalguddi Nursing Home Opp Junior College Ground Gokak Belagavi 591307,591307,
AROGYA ADHAAR HOSPITAL,16.1684541,74.8277806,Belagavi,HOTEL LAXMI VIHAR 1ST FLOOR GOKAK,591307,
Atharv Ortho and Trauma care Hospital Gokak,16.163951,74.8181877,Belagavi,Atharv Ortho and Trauma care Hospital Court Road Near Laxmi Talkies Gokak,591307,
KLES HOSPITAL ICU GOKAK,16.0342971,74.5448695,Belagavi,MAIN ROAD GOKAK BELAGAVI,591307,
Tathagat Heart Care Centre Llp,12.9852366,77.5788637,Bengaluru,No 31 32 Mallige Medical Centre Premises Crescent Road Bangalore,560001,
Asian Hospital,12.9611956,77.5723636,Bengaluru,No 27 A Cross Opp Vani Vilas Hospital K R ROad Near City market,560002,
B W Lions Superspeciality Eye Hospital,12.9563603,77.5809145,Bengaluru,B W Lions Super speciality Eye Hospital 05 Lions Eye Hospital Road Off J C Road Bangalore South 560002,560002,
Manipal Northside Hospital a unit of MHEPL,13.0035912,77.5633706,Bengaluru,71 11th Main Opposite Malleshwaram Railway station Malleshwaram,560003,
Trinity Hospital And Heart Foundation,12.9435556,77.5774481,Bengaluru,Trinity Hospital And Heart Foundation No 27 Sri Rama Mandir Road Bangalore South 560004,560004,
KIMS Hospital And Research Center,12.9563236,77.5725179,Bengaluru,K R Road V V Puram Bangalore 560004,560004,
BMS Hospital,12.9673337,77.5496867,Bengaluru,Bull Temple Road Basavanagudi Bangalore 560004,560004,
Santosh Hospital,12.9885773,77.5705316,Bengaluru,Promenade Road Bengaluru North,560005,
New varalakshmi hospital,12.9960829,77.5535104,Bengaluru,No 2 Mahakavi Kuvempu Road 2nd Stage Rajajinagar Bangalore,560010,
People Tree Hospitals,13.028795,77.5372764,Bengaluru,Tumkur Road Goraguntepalya Yeshwanthpur,560022,
Spine Care And Ortho Care Hospital,12.9744502,77.5470333,Bengaluru,Spine Care And Ortho Care Hospital No 14 1 6Th Block Police Quarters Junction Tollgate Magadi Road Rajajinagar Bangalore 560023,560023,
Healthcare Global Enterprises Ltd,13.0547741,77.5218916,Bengaluru,Healthcare Global Enterprises Ltd No44 45 2 2Nd Cross Raja Rammohan Roy Extn Off Lalbagh Double Road Bangalore 560027,560027,
St Johns Medical College Hospital,12.9282238,77.6168325,Bengaluru,Sarjapur Road John Nagar Koramangala,560034,
Sankara Eye Hospital,12.9750986,77.5642237,Bengaluru,Sankara Eye Hospital Varthur main Road Kundalahalli Gate,560037,
Rainbow Childrens Medicare Private Limited,12.9394767,77.6143005,Bengaluru,Sy No 8 5 Marathalli Kr Puram Outer Ring Road Doddanekundi Marathalli Bengaluru 560037,560037,
Chinmaya Mission Hospital,12.9779576,77.6440024,Bengaluru,CMH Road Indira Nagar Bangalore 560038,560038,
Specialist Health System Pvt Limited,13.0160068,77.64087,Bengaluru,Specialist Health System Pvt Limited No 216 7 Th Main 80 Ft Road 1 St Block Hrbr Layout Kalayanagar Bangalore 560043,560043,
New Janapriya Super Specialty Hospital,13.0067011,77.6507113,Bengaluru,319 East Of NGEF Layout Opposite Sbi Bank Kasturinagar,560043,
St Philomenas Hospital,12.965306,77.6088344,Bengaluru,No 4 Campbell Road Xavier Layout Viveknagar Bangalore 560047,560047,
East Point Hospital,13.0532587,77.7153793,Bengaluru,East Point Hospital 113 Bidarahalli Virgonagara Bangalore East 560049,560049,
HBS Hospital Trust,12.9877854,77.5772943,Bengaluru,No 58 Cockburn road shivajinagar,560051,
The Heart Center,12.9900688,77.5924196,Bengaluru,No3 Millers Tank Bund Road Cunningham Road Opp To Fortune Hotel Vasanth Nagar Bangalore 560052,560052,
SHIFAA HOSPITAL,12.9897837,77.596629,Bengaluru,NO 332 DARUS SALAM QUEENS ROAD BANGALORE 560052,560052,
Bhagwan Mahaveer Jain Hospital,12.9915548,77.5930911,Bengaluru,Bhagwan Mahaveer Jain Hospital Millers Road Vasanthnaga Bangalore 560052,560052,
M S Ramaiah Hospital,13.0280758,77.5695436,Bengaluru,M S Ramaiah Hospital Msr Nagar Msrit Post Bangalore North 560054,560054,
M S Ramaiah Narayana Heart Centre,13.0116493,77.544008,Bengaluru,MSR IT Post MSR Nagar New Bel Road,560054,
Belaku Eye Hospital,12.9109792,77.4777973,Bengaluru,Belaku Eye Hospital 769 1St Cross Ring Road Kengeri Upanagara Bangalore South 560060,560060,
BGS Global Institute of Medical Science and Hospital,12.9015369,77.4963424,Bengaluru,No 67 BGS health and education city uttarahalli main road kengeri Bangalore,560060,
PM Santosha Hospital,12.9269468,77.4966697,Bengaluru,1344 1 63 3 Himigepura Ward No 193 Behind Bgs Global Hospital Next To Galaxy Apts,560060,
Nethrakashi Eye Hospital And Micro Surgical Center,12.9714488,77.3143674,Bengaluru,Nethrakashi Eye Hospital And Micro Surgical Center No 33 1St Main Subramanya Pura Main Road Telecom Layout Padmanabhanagar Bangalore South 560061,560061,
SI Vega Hospital Private Limited Regal Hospital,13.0833337,77.6327721,Bengaluru,No 30 Cmr Complex Chokkanahalli Hegdenagar Main Road Bangalore 560064,560064,
Vydehi Hospital,12.9747622,77.7077808,Bengaluru,Vydehi Hospital 82 Epip Area Whitefield Bangalore 560066,560066,
Prashanth Hospital,12.9065634,77.6265316,Bengaluru,No 90 d Hosur road Bommanahalli circle,560068,
Bangalore Nethralaya,12.9759003,77.5507804,Bengaluru,Bangalore Nethralaya 946 21St Main Near Bda Complex Banashankari 2Nd Stage Bangalore Urban 560070,560070,
Nu Hospitals Pvt Ltd,12.9650929,77.5189024,Bengaluru,Nu Hospitals Pvt Ltd C A 6 15Th Main 11Th Cross Padmanabhanagar Bangalore 560070,560070,
Rajarajeswari Medicalcollege And Hospital,12.8962726,77.4595725,Bengaluru,Rajarajeswari Medicalcollege And Hospital Kambipura Mysore Road Bangalore 560074,560074,
Medihope Hospitals And Research Centre Pvt Ltd,12.9735462,77.6729633,Bengaluru,Medihope Hospitals And Research Centre Pvt Ltd No 114 1 Malleshpalya Main Road New Thippasandra Post Bangalore 560075,560075,
Rainbow Childrens Medicare Private Limited Bannerghatta Road,12.9320881,77.5526403,Bengaluru,Janardhan towers Billekahalli Bannerghatta Road Bangalore,560076,
Sagar Hospitals,12.9079569,77.562929,Bengaluru,Sagar Hospitals Shavige Malleshwara Hills Kumarswamy Layout Banashankari Bangalore South 560078,560078,
Bharathy Hospital,12.9760935,77.5304433,Bengaluru,nagarbhavi main road prashanth nagar,560079,
Vittala International Institute Of Ophthalmology,12.9306367,77.5391345,Bengaluru,Vittala International Institute Of Ophthalmology C A Site No 1 2Nd Cross 2Nd Main 7Th Block Banashankari 3Rd Stage Hosakerehalli Bangalore 560085,560085,
Bhagwan Mahaveer Jain Hospital Girinagar,12.944481,77.537143,Bengaluru,6th Cross 3rd Main Avalahalli Extension Girinagar,560085,
Sanjeevini Hospital,13.0029322,77.5388534,Bengaluru,No 760 7th Main Last Bus Stop Mahalaxmi Layout,560086,
Sapthagiri Super Speciality Hospital,13.0696597,77.5004264,Bengaluru,Sapthagiri Super Speciality Hospital No 15 Chikkasandra Hesargatta Road Bangalore 560090,560090,
Bangalore Cancer Centre Private Limited,12.9905932,77.456036,Bengaluru,118 1 2 Mookambika Temple Road Machohalli Forest Gate Magadi Main Road Bangalore 560091,560091,
Aster CMI Hospital,13.0546111,77.5897431,Bengaluru,Aster Cmi Hospital 43 2 Nh 7 Sahakarnagar Bengaluru 560092,560092,
Raksha Multispeciality Hospital,13.00979,77.5373624,Bengaluru,No141 142 1st Main Khb Colony Krishnanda Nagarpolice Quarters Nandini Layout,560096,
Samrudhi Eye Hospital,13.0711575,77.5656109,Bengaluru,Samrudhi Eye Hospital No 2 Near Fortuna Vista Apt Kodigehalli Main Road Thindlu Vidyaranyapura Post Bangalore West 560097,560097,
Aveksha Hospital,13.081756,77.5387403,Bengaluru,122 Varadarajaswamy Layout MS Palya Singapura Bengaluru,560097,
SPARSH HOSPITAL RR Nagar,12.9266053,77.5188523,Bengaluru,No 8 Ideal Homes HBCS Layout Rajarajeshwari Nagar Bangalore South 560098,560098,
Narayana Hrudayalaya Private Limited,12.8094974,77.6954359,Bengaluru,Narayana Hrudayalaya Private Limited 258 A Bommasandra Industrial Area Anekal Taluk Bangalore 560099,560099,
The Eye Foundation,12.9235204,77.6701892,Bengaluru,79 5 Outer Ring Road BellandurBangalore 560103,560103,
ACE Suhas Hospital,12.9559856,77.5963159,Bengaluru,CA 2 circle Jigani Industrial Area Anekal Bangalore,560105,
The Oxford Medical College Hospital and Research center,12.7873687,77.7554195,Bengaluru,Yadavanahalli NH 7 Hosur main road Attibele Anekal TalukBengaluru Rural,562107,
Nandi Multi Specialty Hospital,13.3050983,77.5429945,Bengaluru Rural,G F Adjecent to Reception D Cross Road Doddaballapaura,561203,
Manasa Hospital,13.3037107,77.5421124,Bengaluru Rural,Manasa Hospital D Cross Main Road Doddaballapur 561203,561203,
Akash Hospital,13.0554502,77.3117413,Bengaluru Rural,Akash Hospital Near Kempegowda International Airport Devanahalli Bangalore Rural 562110,562110,
Leena Multispeciality Hospital,13.2425661,77.7109487,Bengaluru Rural,S Narasimhaiah Lay Out Budigere Road Devanahalli Town,562110,
MVJ Medical College And Research Hospital,13.0773248,77.8092651,Bengaluru Rural,Mvj Medical College And Research Hospital 30Th Km Milestone National Highway 04 Hoskote Dandupalya 562114,562114,
Sri Siddhartha Institute Of Medical Sciences,13.1295472,77.3225963,Bengaluru Rural,T Begur Nelamangala Bangalore Rural,562123,
Ramaiah Harsha Hospital,13.0927344,77.3933819,Bengaluru Rural,93 4 Sondekoppa Circle Nelamagnala,562123,
New Rifah Hospital Basavakalyan,12.9560933,77.5921445,Bidar,Near Bus Stand Basavakalyan,585327,
JSS HOSPITAL,11.9276141,76.947231,Chamarajanagara,JSS HOSPITAL B R ROAD CHAMARAJANAGARA 571313,571313,
Holy Cross Hospital,12.1293845,77.2313977,Chamarajanagara,Kamagere Kollegal Taluk Chamarajanagara 571443,571443,
Manasa Sln Hospital Bagepalli,13.7846962,77.7870152,Chikkaballapur,Manasa Hospital AGS Complex Near Ragavendra Mata D V G Road Bagepalli Chikkaballapura 561207,561207,
Someshwara Hospital,13.6120087,77.5137045,Chikkaballapur,SBM Circle Near Railway Sation Road Gowribidanur Chikkaballapura 561208,561208,
Prasad Hospital,13.3773036,77.7009425,Chikkaballapur,Prasad Hospital M G Road Gouribidanur561208,561208,
Nandeeshwara Super Speciality Eye Hospital,13.4350211,77.731291,Chikkaballapur,Nandeeshwara Super Speciality Eye Hospital Amn Complex 751 693 3Rd Division 29Th Ward Chamrajpet Chikkaballapur 562101,562101,
Lakshmi Eye Hospital,13.4370417,77.7261639,Chikkaballapur,Lakshmi Eye Hospital No 433 1 Csi Hospital Raod Beside Karnataka Bank Chikkaballapur 562101,562101,
Soumya Eye Hospital,13.4241179,77.72681,Chikkaballapur,14 Narayanashastri Layout Bb Road Chikkaballapur,562101,
Ashraya Hospital,13.3157565,75.7711533,Chikkamagaluru,Ashraya Hospital Naidu Street PBNo 77 Chikmagalur 577101,577101,
Vaatsalya Hospital,13.3300732,75.7708248,Chikkamagaluru,Vaatsalya Hospital Bharathi Health Care Complex Opp Sandal Kote R C Road Hassan 573201,577101,
Reticorn Eye Hospital,13.326651,75.7664835,Chikkamagaluru,Reticorn Eye Hospital Krishna Arcade Mallandur Road Chikmagalur 577101,577101,
Holy Cross Hospital Chikmagaluru,13.3386182,75.8013453,Chikkamagaluru,Holy Cross Hospital Chikmagaluru Jyothi Nagar Km Road Chikkamagaluru 577102,577102,
Prashamani Hospital,13.5325008,75.3671158,Chikkamagaluru,Prashamani Hospital Balagadi Road Koppa Chikkamagaluru 577126,577126,
Pushpa Hospital,13.6070947,75.5026388,Chikkamagaluru,Pushpa Hospital Main Road Narasimharajapura 577134,577134,
Sri Maruthi Hospital,13.552332,76.008756,Chikkamagaluru,Sri Maruthi Hospital Sri Maruthi Hospital Opp Vedhavathi Girls High School N H 206 Kadur T Chikamagalore D Kadur 577548,577548,
Akshay Global Hospital,14.2194018,76.4195053,Chitradurga,Akshay Global Hospital Chellakere Road Opp To Sri Ram Kalyana Mantapa Chitradurga,577501,
Basaveshwara Medical College Hospital And Research,14.2232414,76.4121782,Chitradurga,Near KHB Colony Nh 4 By Pass Chitradurga 577501,577501,
Basappa Multi Specialty Hospital,14.2334623,76.4090582,Chitradurga,Basappa Multi Specialty Hospital 5th Block B LGowda Layout Turuvanoor Road Chitradurga 577501,577501,
Chitradurga Multispeciality Hospital,14.2377102,76.4106852,Chitradurga,Harinakshi Layout Turuvanur Road,577501,
Arjan Urology Centre,14.229955,76.4082419,Chitradurga,B L Gowda Layout Opp Bajaj Show Room Rto Office Road Chitradurga,577501,
Father Muller Hospital,12.8718442,74.9850413,Dakshina Kannada,Father Muller Hospital Thumbe Bantwal 574143,574143,
Srinivas Institute of Medical Science and RC,13.021641,74.7897992,Dakshina Kannada,Srinivas Hospital Srinivasnagar Mukka Surathkal Mangalore 574146,574146,
Chetana Hospital,12.7592139,75.1993227,Dakshina Kannada,Chetana Hospital Near Shree Mahamaya Temple Puttur574201,574201,
Adarsha Hospital Puttur,12.7652135,75.2057639,Dakshina Kannada,Adarsha Hospital Puttur A P M C Road Puttur Tq Dakshina Kannada Dist574201,574201,
Pragathi Speciality Hospital,12.7676306,75.1938684,Dakshina Kannada,Pragathi Speciality Hospital Main Road Bolwar Puttur 574201,574201,
Abhaya Hospital,12.9865157,75.2537484,Dakshina Kannada,Jainpete Belthangady Dakshinna Kannada 574214,574214,
JYOTHI HOSPITAL LAILA BELTHANGADY,12.8982761,74.9258162,Dakshina Kannada,LAILA BELTHANGADY,574214,
Fr L M Pinto Health Centre Charitable Trust,12.9992655,75.2331063,Dakshina Kannada,Fr L M Pinto Health Centre Charitable Trust Badyar Padangady Mangalore 574217,574217,
Somayaji Hospital,12.8824951,75.0297093,Dakshina Kannada,Somayaji Hospital PO Jodumarga Bantwal Taluk Bantwal 574219,574219,
Alvas Health Centre,13.0689119,74.9902638,Dakshina Kannada,Alvas Health Centre Near Swaraj Maidan Moodbidri 574227,574227,
Sri Krishna Hospital,13.0371344,75.4090404,Dakshina Kannada,Neriya Road Kakkinje Belthangady Dakshina Kannada 574228,574228,
Benaka Health Centre,12.9963482,75.3195039,Dakshina Kannada,Benaka Health Centre Near Ernodi Bridge Main Road Ujire 574240,574240,
Shri Dharmasthala Manjunatheshwara Hospital Ujire SDM Hospital,12.9946631,75.3304839,Dakshina Kannada,Shri Dharmasthala Manjunatheshwara Hospital Ujire Opp Post Office Charmadi Road Ujire 574240,574240,
Mahaveer Medical Centre,12.7653032,75.1938643,Dakshina Kannada,Main Road Puttur Dakshinna Kannada 574241,574241,
Dhanvantari Hospital,12.7619044,75.1991439,Dakshina Kannada,Dhanvantari Hospital main road Puttur Dakshinna Kannada 574241,574241,
KVG Medical College And Hospital,12.5534132,75.3821913,Dakshina Kannada,Kvg Medical College And Hospital Kurunjibag Sullia D K 574327,574327,
TARA HOSPITAL,12.8689911,74.839671,Dakshina Kannada,Ganapathi High School Mangalore,575001,
Kmc Hospital New,12.865133,74.8440187,Dakshina Kannada,Kmc Hospital Dr B R Ambedkar Circle Mangalore 575001,575001,
Kmc Hospital Attavar,12.865133,74.8440187,Dakshina Kannada,Kmc Hospital Attavar Managalore Dakshinna Kannada 575001,575001,
Mangalore Institute Of Oncology,12.8674985,74.8645238,Dakshina Kannada,Mangalore Institute Of Oncology Pumpwell Mangalore 575002,575002,
Prasad Netralaya,12.88643,74.836122,Dakshina Kannada,Prasad Netralaya A J Alse Road Behind Alankar Theatre Udupi 576101,575002,
Indiana Hospital And Heart Institute Ltd,12.8677184,74.8640381,Dakshina Kannada,Indiana Hospital And Heart Institute Ltd Mahaveer Circle Kankanady Post Pumpwell Mangalore 575002,575002,
Omega Hospital Pvt Ltd Mangalore,12.8704011,74.8607221,Dakshina Kannada,Omega Hospital Pvt Ltd Mangalore Mahaveer Circle Kankanady Mangalore 575002,575002,
